,price
3492,450.0
3494,145.0
3495,48.0
3496,50.0
3498,105.0
3503,85.0
3504,85.0
3508,247.0
3509,119.0
3515,85.0
3517,110.0
3520,250.0
3521,85.0
3526,76.0
3533,130.0
3535,84.0
3537,171.0
3538,75.0
3542,70.0
3545,50.0
3548,289.0
3549,104.0
3552,250.0
3553,250.0
3554,150.0
3555,65.0
3556,88.0
3557,165.0
3558,282.0
3560,650.0
3562,70.0
3565,279.0
3567,33.0
3569,150.0
3570,169.0
3571,155.0
3574,57.0
3575,102.0
3576,66.0
3577,120.0
3579,404.0
3580,495.0
3588,99.0
3589,220.0
3591,67.0
3592,120.0
3597,59.0
3599,30.0
3602,139.0
3603,75.0
3605,1000.0
3607,59.0
3608,575.0
3610,350.0
3612,40.0
3618,75.0
3620,190.0
3623,150.0
3625,155.0
3626,61.0
3628,250.0
3630,75.0
3631,80.0
3633,150.0
3636,65.0
3637,130.0
3638,400.0
3642,150.0
3644,80.0
3645,99.0
3646,49.0
3647,125.0
3650,49.0
3653,210.0
3657,733.0
3659,99.0
3661,64.0
3665,80.0
3667,205.0
3670,100.0
3674,225.0
3675,277.0
3676,279.0
3679,280.0
3681,70.0
3682,120.0
3683,95.0
3690,120.0
3691,37.0
3693,49.0
3694,110.0
3695,35.0
3696,329.0
3697,365.0
3700,543.0
3701,400.0
3704,88.0
3705,250.0
3706,101.0
3708,178.0
3710,75.0
3712,330.0
3714,100.0
3715,1900.0
3716,79.0
3721,180.0
3723,68.0
3726,65.0
3729,130.0
3733,85.0
3736,425.0
3740,150.0
3742,230.0
3744,155.0
3747,208.0
3752,347.0
3754,114.0
3757,145.0
3758,83.0
3760,100.0
3761,45.0
3763,75.0
3764,58.0
3768,50.0
3771,98.0
3772,70.0
3775,95.0
3776,157.0
3778,55.0
3779,117.0
3781,350.0
3785,90.0
3786,65.0
3788,32.0
3792,650.0
3798,220.0
3803,875.0
3806,185.0
3808,175.0
3811,229.0
3815,125.0
3816,240.0
3819,169.0
3820,90.0
3822,120.0
3824,550.0
3828,150.0
3829,200.0
3830,93.0
3833,108.0
